Repository's Location,Branch,Author's GitHub ID,Author's Emails,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/j-os-h-in/ip.git,master,j-os-h-in,,CS2103-F13-4 TAN ..SHIN,Jo Shin,
https://github.com/MooMooYonders/ip.git,master,MooMooYonders,,CS2103-F10-1 CHAN.. KAI,,
https://github.com/mackerelsoup/ip.git,master,mackerelsoup,,CS2103-F12-4 LEE ..TING,zt,
https://github.com/jireh0108/ip.git,master,jireh0108,,CS2103-F13-1 JIRE..A EN,Jireh,
https://github.com/Itsdaodao/ip.git,master,Itsdaodao,,CS2103-F12-2 WANG..HANG,daohang,
https://github.com/JoveFYL/ip.git,master,JoveFYL,,CS2103-F11-2 FONG..JOVE,Jove,
https://github.com/recursive-rc/ip.git,master,recursive-rc,,CS2103T-F10-1 RANE..CHOW,,
https://github.com/c-j-lh/ip.git,master,c-j-lh,,CS2103T-F10-1 CHIE..HENG,Chieu Le Heng,
https://github.com/lihloway/ip.git,master,lihloway,,CS2103T-F12-3 TAY .. LIN,,
https://github.com/WeeMee03/ip.git,master,WeeMee03,,CS2103T-W12-2 KANE..KANG,,
https://github.com/Xateh/ip.git,master,Xateh,,CS2103T-T13-2 TEH ..U AN,,
https://github.com/siangjun2/ip.git,master,siangjun2,,CS2103T-F11-2 LEE .. JUN,,
https://github.com/JothamWong/ip.git,master,JothamWong,,CS2103T-T11-2 JOTH..HUEN,,
https://github.com/lohzq88/ip.git,master,lohzq88,,CS2103T-W12-4 LOH .. QIN,,
https://github.com/krxm107/ip.git,master,krxm107,,CS2103T-F15b-4 KAN ..THEW,Matthew Kan (NUS Student),
https://github.com/Ruinim/ip.git,master,Ruinim,,CS2103T-W10-3 LEE ..HIEN,,
https://github.com/goatmilkkk/ip.git,master,goatmilkkk,,CS2103T-W10-3 YEO ..CENT,,
https://github.com/zongmin-yu/ip.git,master,zongmin-yu,,CS2103T-F15a-3 YU Z..GMIN,yuzongmin,
https://github.com/WhyisQuek/ip.git,master,WhyisQuek,,CS2103T-W10-3 TIMO..YUAN,Timothy;Timothy Quek,
https://github.com/seokjoon27/ip.git,master,seokjoon27,,CS2103T-W10-1 HONG..JOON,,
https://github.com/jxnwxx/ip.git,master,jxnwxx,,CS2103T-W10-3 YUE .. WEI,,
https://github.com/tze088/ip.git,master,tze088,,CS2103T-F12-1 CHON.. YAN,Chong Tze Yan,
https://github.com/huajun07/ip.git,master,huajun07,,CS2103T-T10-4 TEOW.. JUN,,
https://github.com/limanjun99/ip.git,master,limanjun99,,CS2103T-T10-4 LIM .. JUN,An Jun,
https://github.com/ngyupeng/ip.git,master,ngyupeng,,CS2103T-T10-4 NG Y..PENG,,
https://github.com/AndrescuIII-too/ip.git,master,AndrescuIII-too,,CS2103T-T15-2 GONZ..ILLA,,
https://github.com/MoeySeanJean/ip.git,master,MoeySeanJean,,CS2103T-T14-1 MOEY..JEAN,,
https://github.com/fengql123/ip.git,master,fengql123,,CS2103T-T11-1 FENG..LONG,fql123,
https://github.com/sjinho/ip.git,master,sjinho,,CS2103T-W14-2 SON ..INHO,jinhoson,
https://github.com/Haxatron/ip.git,master,Haxatron,,CS2103T-F15a-1 AXEL.. JUN,,
https://github.com/zzzyans/ip.git,master,zzzyans,,CS2103T-T11-4 LIM .. YAN,,
https://github.com/yuntaeseo/ip.git,master,yuntaeseo,,CS2103T-T16-1 SEO ..NTAE,,
